epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
1,9.354575163398692,20.383986928104576,27.287581699346404,9.375,22.916666666666668,25.0
2,15.982434640522875,31.90359477124183,41.93218954248366,18.229166666666668,29.6875,42.1875
3,39.97140522875817,43.29044117647059,54.43218954248366,52.604166666666664,44.270833333333336,52.083333333333336
4,52.32843137254902,51.21527777777778,56.75040849673203,47.916666666666664,52.083333333333336,52.083333333333336
5,53.70710784313726,55.73937908496732,58.26184640522876,46.875,40.625,44.791666666666664
6,53.78880718954248,58.58864379084967,58.935866013071895,46.354166666666664,48.958333333333336,52.083333333333336
7,54.43218954248366,61.44812091503268,60.67197712418301,46.875,47.916666666666664,52.083333333333336
8,54.52410130718954,63.66421568627451,61.12132352941177,47.395833333333336,53.125,48.958333333333336
9,55.30024509803921,65.92116013071896,61.38684640522876,45.3125,48.4375,54.166666666666664
10,55.59640522875817,68.21895424836602,61.376633986928105,44.791666666666664,47.395833333333336,57.8125
11,55.74959150326797,69.65890522875817,62.377450980392155,48.958333333333336,47.395833333333336,55.729166666666664
12,55.98447712418301,70.98651960784314,63.06168300653595,44.791666666666664,46.875,53.645833333333336
13,56.83210784313726,71.86478758169935,62.87785947712418,43.75,55.208333333333336,48.958333333333336
14,56.975081699346404,72.70220588235294,63.90931372549019,44.791666666666664,46.875,50.0
15,57.59803921568628,73.703022875817,64.33823529411765,48.4375,50.520833333333336,55.729166666666664
16,57.9452614379085,74.4281045751634,63.89910130718954,45.3125,50.520833333333336,54.166666666666664
17,57.61846405228758,75.39828431372548,64.84885620915033,52.083333333333336,47.395833333333336,55.208333333333336
18,58.435457516339866,75.63316993464052,64.45057189542484,48.4375,47.395833333333336,54.6875
19,59.548611111111114,76.04166666666667,64.98161764705883,45.3125,53.645833333333336,48.4375
20,59.548611111111114,76.4093137254902,64.82843137254902,45.833333333333336,55.208333333333336,50.0
